name,model,purpose,qty,price (US),specs,"iot, notes"
Robot,Opentrons Flex,Automation Core,1,"$24,000","87x69x84cm, 88.5kg","WiFi, API, Touchscreen"
Module,Heater-Shaker GEN1,Culture/Vortex,1,"$3,750","37-95째C, 200-3000 rpm",Replaces Stirrer/Flasks
Module,Thermocycler GEN2,Incubation/PCR,1,"$9,750","4-99째C, Lid 110째C","On-deck, Auto-lid"
Module,Magnetic Block,Purification,1,"$1,750",96-well High-Strength,"Passive, Gripper compatible"
Module,HEPA/UV Module,Sterility,1,"$14,000","ISO 5, 99.99% filter",Replaces large BSC
Instrument,Flex Gripper,Labware Transport,1,"$8,950",50N force limit,Critical for walk-away
Pipette,Flex 8-Channel,Liquid Transfer,1,"$5,750",5-1000 uL range,Air displacement
Pipette,Flex 1-Channel,Liquid Transfer,1,"$2,750",5-1000 uL range,Air displacement
Sequencer,PromethION 2 Solo,DNA Sequencing,1,"$10,455","2 Flow Cells, 580Gb",USB-C to Host PC
Computer,Custom Workstation,Compute/Control,1,"$4,500","i9, 64GB, RTX 4090",Runs MinKNOW/API
Freezer,Stirling ULT25NEU,Sample Storage,1,"$7,500","-86째C, 25L, Portable",SenseAnywhere IoT
Autoclave,Enbio S,Sterilization,1,"$2,499","Class B, 7 min cycle",USB logging
Camera,Ubiquiti G5 Flex,Monitoring,2,$258,"2K HD, PoE, Night Vision",Remote view via VPN
Consumable,NEST 96 DeepWell,Cultures,50,$360,"2.2mL, V-bottom",Replaces Flasks
Consumable,Flex Filter Tips,Pipetting,20 pk,$600,200uL / 1000uL,Robot compatible